canonical_source_id,source_type,volume_count,occurrences,administrations,item_kinds,path_text,volumes
jimmy-carter-presidential-library-atlanta-georgia-national-s-e0c18c0a,unpublished,2,2,carter,container,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs, Staff Material",frus1977-80v16; frus1977-80v28
jimmy-carter-presidential-library-atlanta-georgia-national-s-08381f57,unpublished,2,2,carter,container,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Council Files",frus1977-80v06; frus1977-80v08
jimmy-carter-presidential-library-atlanta-georgia-national-s-21eb90a1,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Council Institutional Files",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-national-s-2dfec0f0,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Council, Institutional Files",frus1977-80v19; frus1977-80v28
jimmy-carter-presidential-library-atlanta-georgia-plains-fil-56241869,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Plains File > Subject File",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-presidenti-30acc065,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Presidential Materials > Vertical File",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-presidenti-0791f29d,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Presidential Materials > White House Central Files",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-staff-mate-9a9d380b,unpublished,2,2,carter,container,"Jimmy Carter Presidential Library, Atlanta, Georgia > Staff Material",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-staff-mate-609147cf,unpublished,2,2,carter,container,"Jimmy Carter Presidential Library, Atlanta, Georgia > Staff Material > Middle East",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-staff-mate-7e6f3995,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Staff Material > Middle East > Chron File",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-staff-mate-eda810c0,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Staff Material > Middle East > Meetings File",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-staff-mate-25b63616,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Staff Material > Middle East > Subject File",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-staff-mate-f722b56a,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Staff Material > Middle East > Trips/Visits File",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-staff-mate-39cf1db4,unpublished,2,2,carter,container,"Jimmy Carter Presidential Library, Atlanta, Georgia > Staff Material > Office",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-staff-mate-44e5dc17,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Staff Material > Office > Outside the System File",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-staff-mate-5e46cfef,unpublished,2,2,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Staff Material > Office > Presidential Advisory Board",frus1977-80v09; frus1977-80v09Ed2
jimmy-carter-presidential-library-atlanta-georgia-white-hous-40cc356a,unpublished,2,2,carter,container; source,"Jimmy Carter Presidential Library, Atlanta, Georgia > White House Central File",frus1977-80v15; frus1977-80v28
keesing-s-contemporary-archives-1977-1978-1979-1980-1981-lon-d36d5dfb,published,2,2,carter,source,"Keesing’s Contemporary Archives, 1977, 1978, 1979, 1980, 1981. London: Longman, 1977-1981.",frus1977-80v06; frus1977-80v15
library-of-congress-harold-brown-papers-45c05d2f,unpublished,2,2,carter,source,Library of Congress > Harold Brown Papers,frus1977-80v12; frus1977-80v24
library-of-congress-manuscript-division-ac566cfd,unpublished,2,2,reagan,container,Library of Congress > Manuscript Division,frus1981-88v04; frus1981-88v11
library-of-congress-manuscript-division-papers-of-caspar-w-w-595d2220,unpublished,2,2,reagan,source,Library of Congress > Manuscript Division > Papers of Caspar W. Weinberger,frus1981-88v04; frus1981-88v11
library-of-congress-manuscript-division-93e1e2a2,unpublished,2,2,carter,container,"Library of Congress, Manuscript Division",frus1977-80v17p1; frus1977-80v26
library-of-congress-washington-d-c-manuscript-division-882163e2,unpublished,2,2,reagan,container,"Library of Congress, Washington D.C. > Manuscript Division",frus1981-88v06; frus1981-88v44p1
library-of-congress-washington-d-c-manuscript-division-paper-0b8faf08,unpublished,2,2,reagan,source,"Library of Congress, Washington D.C. > Manuscript Division > Papers of Caspar W. Weinberger",frus1981-88v06; frus1981-88v44p1
library-of-congress-washington-d-c-harold-brown-papers-02a9a37c,unpublished,2,2,carter,source,"Library of Congress, Washington, D.C. > Harold Brown Papers",frus1977-80v09; frus1977-80v09Ed2
library-of-congress-washington-d-c-papers-of-alexander-m-hai-608612d2,unpublished,2,2,reagan,source,"Library of Congress, Washington, D.C. > Papers of Alexander M. Haig, Jr., Department of State Files",frus1981-88v01; frus1981-88v38
library-of-congress-washington-d-c-sol-linowitz-papers-dc649a27,unpublished,2,2,carter,source,"Library of Congress, Washington, D.C. > Sol Linowitz Papers",frus1977-80v09; frus1977-80v09Ed2
linowitz-sol-m-the-making-of-a-public-man-a-memoir-boston-li-dc3ab791,published,2,2,carter,source,"Linowitz, Sol M. The Making of a Public Man: A Memoir. Boston: Little, Brown, 1985.",frus1977-80v09; frus1977-80v09Ed2
los-angeles-times-efbf7188,published,2,2,carter,source,Los Angeles Times,frus1977-80v02; frus1977-80v12
matlock-jack-reagan-and-gorbachev-how-the-cold-war-ended-new-bbcaf7b4,published,2,2,reagan,source,"Matlock, Jack. Reagan and Gorbachev: How the Cold War Ended. New York: Random House, 2004.",frus1981-88v04; frus1981-88v05
mccullough-david-the-path-between-the-seas-the-creation-of-t-b356e07e,published,2,2,carter,source,"McCullough, David. The Path Between the Seas: The Creation of the Panama Canal, 1870-1914. New York: Simon and Schuster, 1977.",frus1977-80v01; frus1977-80v30
mcfarlane-robert-and-zofia-smardz-special-trust-new-york-cad-e027f81c,published,2,2,reagan,source,"McFarlane, Robert and Zofia Smardz. Special Trust. New York: Cadell and Davies, 1984.",frus1981-88v03; frus1981-88v04
medzini-meron-ed-israel-s-foreign-relations-selected-documen-e99da104,published,2,2,carter,source,"Medzini, Meron (ed.). Israel’s Foreign Relations: Selected Documents, 1977-1979, vols. 4 and 5. Jerusalem: Ministry for Foreign Affairs, 1981.",frus1977-80v09; frus1977-80v09Ed2
minnesota-historical-society-st-paul-minnesota-25e65fec,unpublished,2,2,carter,container,"Minnesota Historical Society, St. Paul, Minnesota",frus1977-80v01; frus1977-80v02
minnesota-historical-society-st-paul-minnesota-walter-f-mond-51751ddc,unpublished,2,2,carter,container,"Minnesota Historical Society, St. Paul, Minnesota > Walter F. Mondale Papers",frus1977-80v01; frus1977-80v02
minnesota-historical-society-st-paul-minnesota-walter-f-mond-2d63097e,unpublished,2,2,carter,container,"Minnesota Historical Society, St. Paul, Minnesota > Walter F. Mondale Papers > Vice Presidential Papers",frus1977-80v01; frus1977-80v02
national-archives-and-record-administration-college-park-mar-977bca6b,unpublished,2,2,carter,container,"National Archives and Record Administration, College Park, Maryland > Record Group 59, General Records of the Department of State",frus1977-80v19; frus1977-80v24
national-archives-and-record-administration-college-park-mar-729ed5fd,unpublished,2,2,carter,source,"National Archives and Record Administration, College Park, Maryland > Record Group 59, Records of the Department of State > Central Foreign Policy File",frus1977-80v06; frus1977-80v26
national-archives-and-records-administration-college-park-ma-52a2a8b2,unpublished,2,2,carter,source,"National Archives and Records Administration, College Park, Maryland > Bureau of Near Eastern and South Asian Affairs, Files of Alfred L. Atherton, Lot 80D166",frus1977-80v09; frus1977-80v09Ed2
national-archives-and-records-administration-college-park-ma-af6af635,unpublished,2,2,carter,container,"National Archives and Records Administration, College Park, Maryland > Record Group 59, Files of the Department of State",frus1977-80v08; frus1977-80v29
national-archives-and-records-administration-college-park-ma-2365f4e2,unpublished,2,2,carter,source,"National Archives and Records Administration, College Park, Maryland > Record Group 59, Files of the Department of State > Central Foreign Policy File",frus1977-80v08; frus1977-80v29
national-archives-and-records-administration-college-park-ma-0d60b2a4,unpublished,2,2,carter,source,"National Archives and Records Administration, College Park, Maryland > RG 59, Records of the Department of State",frus1977-80v09; frus1977-80v09Ed2
national-archives-and-records-administration-public-papers-o-9f5a62a3,published,2,2,carter,source,"National Archives and Records Administration. Public Papers of the Presidents: Harry S Truman. 1947, 1949. Washington: Government Printing Office, 1963, 1964.",frus1977-80v01; frus1977-80v30
national-security-council-carter-administration-intelligence-15523e94,unpublished,2,2,carter,source,National Security Council > Carter Administration Intelligence Files,frus1977-80v12; frus1977-80v15
national-security-council-crisis-pre-planning-group-meetings-360df45d,unpublished,2,2,reagan,source,National Security Council > Crisis Pre-Planning Group meetings,frus1981-88v06; frus1981-88v11
national-security-council-national-security-council-meetings-f1a5b46c,unpublished,2,2,reagan,source,National Security Council > National Security Council meetings,frus1981-88v06; frus1981-88v11
national-security-council-national-security-decision-directi-dd7b545e,unpublished,2,2,reagan,source,National Security Council > National Security Decision Directives,frus1981-88v06; frus1981-88v11
national-security-council-national-security-planning-group-m-1232c652,unpublished,2,2,reagan,source,National Security Council > National Security Planning Group meetings,frus1981-88v06; frus1981-88v11
national-security-council-special-situation-group-meetings-e2a30184,unpublished,2,2,reagan,source,National Security Council > Special Situation Group meetings,frus1981-88v06; frus1981-88v11
national-security-council-washington-d-c-4ff4f98e,unpublished,2,2,carter,container,"National Security Council, Washington D.C.",frus1977-80v16; frus1977-80v18
national-security-council-washington-d-c-carter-administrati-21ee60b8,unpublished,2,2,carter,source,"National Security Council, Washington, D.C. > Carter Administration Intelligence Files",frus1977-80v09; frus1977-80v09Ed2
nitze-paul-from-hiroshima-to-glasnost-at-the-center-of-decis-50649f50,published,2,2,reagan,source,"Nitze, Paul. From Hiroshima to Glasnost: At the Center of Decision. New York: Grove Weidenfeld, 1989.",frus1981-88v04; frus1981-88v05
reagan-ronald-an-american-life-new-york-simon-and-schuster-1-948783e2,published,2,2,reagan,source,"Reagan, Ronald. An American Life. New York: Simon and Schuster, 1990.",frus1981-88v04; frus1981-88v05
ronald-reagan-presidential-library-simi-valley-california-ex-f4e2ff12,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > Executive Secretariat, National Security Council > Cable File",frus1981-88v06; frus1981-88v11
ronald-reagan-presidential-library-simi-valley-california-ex-c12c1008,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > Executive Secretariat, National Security Council > Country File: USSR",frus1981-88v06; frus1981-88v11
ronald-reagan-presidential-library-simi-valley-california-ex-91361801,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > Executive Secretariat, National Security Council > Head of State File",frus1981-88v06; frus1981-88v24
ronald-reagan-presidential-library-simi-valley-california-ex-08463966,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > Executive Secretariat, National Security Council > National Security Decision Directives",frus1981-88v06; frus1981-88v24
ronald-reagan-presidential-library-simi-valley-california-ge-e1b359ed,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > George Shultz Papers",frus1981-88v01; frus1981-88v44p1
ronald-reagan-presidential-library-simi-valley-california-pe-ae3e51ee,unpublished,2,2,reagan,container,"Ronald Reagan Presidential Library, Simi Valley, California > Personal Papers",frus1981-88v11; frus1981-88v24
ronald-reagan-presidential-library-simi-valley-california-pe-691d6620,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > Personal Papers > George Shultz Papers",frus1981-88v11; frus1981-88v24
ronald-reagan-presidential-library-simi-valley-california-wh-c426c147,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > Files of the Executive Secretariat, National Security Council > Cable File",frus1981-88v04; frus1981-88v05
ronald-reagan-presidential-library-simi-valley-california-wh-79a8755c,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > Files of the Executive Secretariat, National Security Council > Country File: Europe and Soviet Union",frus1981-88v04; frus1981-88v05
ronald-reagan-presidential-library-simi-valley-california-wh-d9343356,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > Files of the Executive Secretariat, National Security Council > National Security Study Directives (NSSD) File",frus1981-88v04; frus1981-88v05
ronald-reagan-presidential-library-simi-valley-california-wh-216e424a,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > Files of the Executive Secretariat, National Security Council > System IV Intelligence Files",frus1981-88v05; frus1981-88v44p1
ronald-reagan-presidential-library-simi-valley-california-wh-6df8ff6e,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > Jack Matlock Files",frus1981-88v05; frus1981-88v44p1
ronald-reagan-presidential-library-simi-valley-california-wh-940fa3d5,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > John Poindexter Files",frus1981-88v05; frus1981-88v44p1
ronald-reagan-presidential-library-simi-valley-california-wh-b8ee50d4,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > President’s Daily Diary",frus1981-88v05; frus1981-88v38
ronald-reagan-presidential-library-simi-valley-california-wh-b5599cbe,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > Robert Linhard Files",frus1981-88v05; frus1981-88v44p1
ronald-reagan-presidential-library-simi-valley-california-wh-d78ebe88,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > Robert McFarlane Files",frus1981-88v05; frus1981-88v38
ronald-reagan-presidential-library-simi-valley-california-wh-c18db1fa,unpublished,2,2,reagan,source,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > Sven Kraemer Files",frus1981-88v05; frus1981-88v44p1
the-new-york-times-6b4ea393,published,2,2,carter,source,The New York Times,frus1977-80v06; frus1977-80v08
u-s-department-of-state-american-foreign-policy-basic-docume-87911eb4,published,2,2,carter,source,"U.S. Department of State. American Foreign Policy, Basic Documents, 1977-1980. Washington: Government Printing Office, 1980.",frus1977-80v01; frus1977-80v30
u-s-department-of-state-bulletin-1977-1980-e72ccaf5,published,2,2,carter,source,"U.S. Department of State. Bulletin, 1977-1980.",frus1977-80v26; frus1977-80v28
u-s-house-of-representatives-committee-on-house-administrati-a1f9dd54,published,2,2,carter,source,"U.S. House of Representatives. Committee on House Administration. The Presidential Campaign, 1976. Washington: Government Printing Office, 1978.",frus1977-80v01; frus1977-80v30
u-s-national-archives-and-records-administration-public-pape-4d09346d,published,2,2,carter,source,"U.S. National Archives and Records Administration. Public Papers of the Presidents of the United States: Jimmy Carter, 1977-1980. Washington: U.S. Government Printing Office, 1978, 1979, 1980, 1981.",frus1977-80v24; frus1977-80v26
united-nations-treaty-series-91947f86,published,2,2,carter,source,United Nations. Treaty Series.,frus1977-80v01; frus1977-80v02
united-nations-yearbook-of-the-united-nations-1974-1980-new-9298202c,published,2,2,carter,source,"United Nations. Yearbook of the United Nations, 1974-1980. New York: United Nations Office of Public Information, 1975-1981.",frus1977-80v18; frus1977-80v21
united-nations-yearbook-of-the-united-nations-1978-1980-new-704c917b,published,2,2,carter,source,"United Nations. Yearbook of the United Nations, 1978-1980. New York: Department of Public Information, United Nations, 1981-1983.",frus1977-80v09; frus1977-80v09Ed2
united-states-department-of-state-bulletin-1977-1980-c90e4415,published,2,2,carter,source,"United States. Department of State. Bulletin, 1977-1980.",frus1977-80v06; frus1977-80v20
united-states-department-of-state-bulletin-1978-1980-washing-7457f0d3,published,2,2,carter,source,"United States. Department of State. Bulletin, 1978-1980. Washington: U.S. Government Printing Office, 1978-1980.",frus1977-80v09; frus1977-80v09Ed2
united-states-house-of-representatives-committee-on-foreign-47fe8484,published,2,2,carter,source,"United States. House of Representatives. Committee on Foreign Affairs. Documents and Statements on Middle East Peace, 1979-82. Washington: U.S. Government Printing Office, 1982.",frus1977-80v09; frus1977-80v09Ed2
united-states-national-archives-and-records-administration-p-9b57f54a,published,2,2,carter,source,"United States. National Archives and Records Administration. Public Papers of the Presidents of the United States: Jimmy Carter, 1978, 1979, 1980-81. Washington: U.S. Government Printing Office, 1979, 1980, 1982.",frus1977-80v09; frus1977-80v09Ed2
washington-national-records-center-0565ce6f,unpublished,2,2,carter,container,Washington National Records Center,frus1977-80v18; frus1977-80v23
washington-national-records-center-suitland-maryland-osd-fil-e10b8242,unpublished,2,2,reagan,source,"Washington National Records Center, Suitland, Maryland > OSD Files: FRC 330-90-0033, Official Records of the Secretary of Defense, 1981-1987",frus1981-88v06; frus1981-88v11
washington-national-records-center-suitland-maryland-record-628a5203,unpublished,2,2,carter,source,"Washington National Records Center, Suitland, Maryland > Record Group 330, Records of the Office of the Secretary of Defense > FRC 330-81-0446, Assistant Secretary of Defense for International Security Affairs, PDASD Policy Files, 1977-1981",frus1977-80v09; frus1977-80v09Ed2
washington-national-records-center-suitland-maryland-record-885d744d,unpublished,2,2,carter,source,"Washington National Records Center, Suitland, Maryland > Record Group 330, Records of the Office of the Secretary of Defense > FRC 330-81-0447, Assistant Secretary of Defense for International Security Affairs, PDASD/ISA Files, 1970-80",frus1977-80v09; frus1977-80v09Ed2
washington-national-records-center-suitland-maryland-record-be6dced2,unpublished,2,2,carter,source,"Washington National Records Center, Suitland, Maryland > Record Group 330, Records of the Office of the Secretary of Defense > FRC 330-82-0205, Official Records of the Secretary of Defense, Deputy Secretary of Defense, and the Special Assistant to the Secretary of Defense and the Deputy Secretary of Defense, 1979",frus1977-80v09; frus1977-80v09Ed2
washington-national-records-center-suitland-maryland-record-91d36b59,unpublished,2,2,carter,source,"Washington National Records Center, Suitland, Maryland > Record Group 330, Records of the Office of the Secretary of Defense > FRC 330-82-0217B, Official Records of the Secretary of Defense, Deputy Secretary of Defense, and the Special Assistant to the Secretary of Defense and the Deputy Secretary of Defense, 1980",frus1977-80v09; frus1977-80v09Ed2
washington-national-records-center-suitland-maryland-record-9783b709,unpublished,2,2,carter,source,"Washington National Records Center, Suitland, Maryland > Record Group 330, Records of the Office of the Secretary of Defense > FRC 330-82-0270, Official Records of the Secretary of Defense, Deputy Secretary of Defense, and the Special Assistant to the Secretary of Defense and the Deputy Secretary of Defense, 1979",frus1977-80v09; frus1977-80v09Ed2
washington-national-records-center-suitland-maryland-rg-330-dd0800e4,unpublished,2,2,carter,container,"Washington National Records Center, Suitland, Maryland > RG 330, Records of the Department of Defense > OSD Files: FRC 330-80-0017",frus1977-80v17p1; frus1977-80v28
washington-national-records-center-suitland-maryland-rg-330-948ad3ff,unpublished,2,2,carter,container,"Washington National Records Center, Suitland, Maryland > RG 330, Records of the Department of Defense > OSD Files: FRC 330-81-0202",frus1977-80v13; frus1977-80v17p1
washington-national-records-center-suitland-maryland-rg-330-d6d64f82,unpublished,2,2,carter,source,"Washington National Records Center, Suitland, Maryland > RG 330, Records of the Department of Defense > OSD Files: FRC 330-81-0202 > Secret Records of the Office of the Secretary of Defense, 1978",frus1977-80v13; frus1977-80v17p1
washington-national-records-center-suitland-maryland-rg-330-416b846d,unpublished,2,2,carter,container,"Washington National Records Center, Suitland, Maryland > RG 330, Records of the Department of Defense > OSD Files: FRC 330-82-0205",frus1977-80v13; frus1977-80v17p1
weizman-ezer-the-battle-for-peace-new-york-bantam-1981-07ad1212,published,2,2,carter,source,"Weizman, Ezer. The Battle for Peace. New York: Bantam, 1981.",frus1977-80v09; frus1977-80v09Ed2
documents-on-disarmament-1977-1980-washington-u-s-government-5b902576,published,1,1,carter,source,"______ Documents on Disarmament, 1977-1980. Washington: U.S. Government Printing Office.",frus1977-80v26
national-archives-and-records-administration-public-papers-o-3edeafd2,published,1,1,carter,source,"________. National Archives and Records Administration. Public Papers of the Presidents of the United States: Jimmy Carter, 1977- 1980. Washington: U.S. Government Printing Office, 1978-1981.",frus1977-80v20
white-house-diary-new-york-farrar-straus-and-giroux-2010-14dadaa7,published,1,1,carter,source,"_______. White House Diary. New York: Farrar, Straus, and Giroux, 2010.",frus1977-80v20
elements-in-an-international-development-strategy-for-the-19-93e48c57,published,1,1,reagan,source,"______. “Elements in an International Development Strategy for the 1980s. Report Prepared by the Secretariat,” 1979.",frus1981-88v41
falklands-diary-1-april-25-june-1982-margaret-thatcher-found-7e7cb91b,published,1,1,reagan,source,"______. “Falklands Diary: 1 April-25 June 1982,” Margaret Thatcher Foundation.",frus1981-88v13
protection-of-americans-abroad-hearings-before-the-subcommit-43f6ef72,published,1,1,carter,source,"______. “Protection of Americans Abroad,” Hearings Before the Subcommittee on International Operations of the Committee on International Relations, House of Representatives, July 12 and 14, 1977.",frus1977-80v24
world-population-plan-of-action-1974-e60e73b5,published,1,1,reagan,source,"______. “World Population Plan of Action,” 1974.",frus1981-88v41
bulletin-1974-1980-washington-1974-1981-f69c9a44,published,1,1,carter,source,"______. Bulletin, 1974-1980. Washington: 1974-1981",frus1977-80v30
bulletin-1977-1980-washington-u-s-government-printing-office-595ac78e,published,1,1,carter,source,"______. Bulletin, 1977-1980. Washington: U.S. Government Printing Office.",frus1977-80v24
centers-for-disease-control-morbidity-and-mortality-weekly-r-17c65588,published,1,1,reagan,source,"______. Centers for Disease Control, Morbidity and Mortality Weekly Reports.",frus1981-88v41
department-of-state-bulletin-2c300014,published,1,1,reagan,source,"______. Department of State, Bulletin.",frus1981-88v41
department-of-state-bulletin-1981-1984-2b7334ce,published,1,1,reagan,source,"______. Department of State. Bulletin, 1981-1984.",frus1981-88v13
department-of-state-bulletin-1983-1985-2f92d040,published,1,1,reagan,source,"______. Department of State. Bulletin, 1983-1985.",frus1981-88v04
department-of-state-bulletin-1985-1986-ad83c5e3,published,1,1,reagan,source,"______. Department of State. Bulletin, 1985-1986.",frus1981-88v05
foreign-relations-authorization-for-fiscal-year-1979-hearing-92f7befc,published,1,1,carter,source,"______. Foreign Relations Authorization for Fiscal Year 1979: Hearing Before the Subcommittee on International Relations, House of Representatives, Ninety-Fifth Congress, Second Session, January 31; February 1, 7, 8, 14, 16, 21, 23; March 14, 15; and April 5, 1978. Washington: Government Printing Office, 1978.",frus1977-80v30
joint-chiefs-of-staff-history-office-the-joint-chiefs-of-sta-d9cc0568,published,1,1,carter,source,"______. Joint Chiefs of Staff History Office. The Joint Chiefs of Staff and National Policy, 1977-1980.",frus1977-80v11p1
national-archives-and-records-administration-public-papers-o-60869161,published,1,1,reagan,source,"______. National Archives and Records Administration, Public Papers of the Presidents of the United States: Ronald Reagan, 1981 - 1988.",frus1981-88v41
national-archives-and-records-administration-public-papers-o-03d56fdf,published,1,1,carter,source,"______. National Archives and Records Administration. Public Papers of the Presidents of the United States: Jimmy Carter, 1977-1980. Washington: Government Printing Office, 1978, 1979, 1980, 1981.",frus1977-80v18
national-archives-and-records-administration-public-papers-o-71669a51,published,1,1,reagan,source,"______. National Archives and Records Administration. Public Papers of the Presidents of the United States: Ronald Reagan, 1981, 1982, 1983, 1984, 1985. Washington: U.S. Government Printing Office, 1982-1988.",frus1981-88v04
national-archives-and-records-administration-public-papers-o-7cd6ccbb,published,1,1,reagan,source,"______. National Archives and Records Administration. Public Papers of the Presidents of the United States: Ronald Reagan, 1981, 1982, 1983, 1984. Washington: U.S. Government Printing Office, 1982-1986.",frus1981-88v13
national-archives-and-records-administration-public-papers-o-a40e4a6d,published,1,1,reagan,source,"______. National Archives and Records Administration. Public Papers of the Presidents of the United States: Ronald Reagan, 1982, 1984, 1985, 1986. Washington: U.S. Government Printing Office, 1983-1988.",frus1981-88v05
national-archives-and-records-administration-public-papers-o-fa8d9b45,published,1,1,reagan,source,"______. National Archives and Records Administration. Public Papers of the Presidents of the United States: Ronald Reagan, 1985, 1986, 1987, 1988. Washington: U.S. Government Printing Office, 1985-1988.",frus1981-88v06
public-health-service-office-of-the-surgeon-general-surgeon-5ff3e5b8,published,1,1,reagan,source,"______. Public Health Service, Office of the Surgeon General, “Surgeon General’s Report on Acquired Immune Deficiency Syndrome,” 1986.",frus1981-88v41
public-papers-of-the-president-of-the-united-states-richard-f94d65b0,published,1,1,carter,source,"______. Public Papers of the President of the United States: Richard Nixon, 1972. Washington: U.S. Government Printing Office, 1974.",frus1977-80v19
public-papers-of-the-presidents-of-the-united-states-gerald-81cb235b,published,1,1,carter,source,"______. Public Papers of the Presidents of the United States: Gerald R. Ford, 1974, 1975, 1976. Washington: Government Printing Office, 1975, 1976, 1977.",frus1977-80v30
public-papers-of-the-presidents-of-the-united-states-jimmy-c-c6e7b294,published,1,1,carter,source,"______. Public Papers of the Presidents of the United States: Jimmy Carter, 1977-1981. Washington: Government Printing Office, 1978-1982.",frus1977-80v30
public-papers-of-the-presidents-of-the-united-states-john-f-6c03af97,published,1,1,carter,source,"______. Public Papers of the Presidents of the United States: John F. Kennedy. 1961, 1963. Washington: Government Printing Office, 1962, 1964.",frus1977-80v30
public-papers-of-the-presidents-of-the-united-states-lyndon-07fc7a8a,published,1,1,carter,source,"______. Public Papers of the Presidents of the United States: Lyndon Baines Johnson, 1968-1969. Washington: Government Printing Office, 1970.",frus1977-80v30
public-papers-of-the-presidents-of-the-united-states-richard-19103dc7,published,1,1,carter,source,"______. Public Papers of the Presidents of the United States: Richard M. Nixon, 1972. Washington: Government Printing Office, 1973.",frus1977-80v30
the-official-history-of-the-falklands-campaign-volume-ii-war-1ae858de,published,1,1,reagan,source,"______. The Official History of the Falklands Campaign, Volume II: War and Diplomacy. London: Routledge, 2005.",frus1981-88v13
the-united-states-and-latin-america-next-steps-a-second-repo-66d4d0ab,published,1,1,carter,source,"______. The United States and Latin America; Next Steps, a Second Report. New York: Center for Inter-American Relations, 1976",frus1977-80v30
u-s-agency-for-international-development-usaid-policy-paper-daece56b,published,1,1,reagan,source,"______. U.S. Agency for International Development, “USAID Policy Paper-Population Assistance.”",frus1981-88v41
white-house-press-briefing-october-15-1982-2c4cb817,published,1,1,reagan,source,"______. White House Press Briefing, October 15, 1982.",frus1981-88v41
national-archives-and-records-administration-public-papers-o-83132a2d,published,1,1,reagan,source,"_____, National Archives and Records Administration. Public Papers of the Presidents of the United States: Jimmy Carter, 1979. Washington: U.S. Government Printing Office, 1980.",frus1981-88v38
national-archives-and-records-administration-public-papers-o-5981bc96,published,1,1,reagan,source,"_____, National Archives and Records Administration. Public Papers of the Presidents of the United States: Ronald Reagan, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988. Washington: U.S. Government Printing Office, 1982-1991.",frus1981-88v38
a-quest-for-excellence-final-report-to-the-president-by-the-617be1bc,published,1,1,reagan,source,"_____. A Quest for Excellence: Final Report to the President by the President’s Blue Ribbon Commission on Defense Management. Washington: President’s Blue Ribbon Commission on Defense Management, 1986.",frus1981-88v01
american-foreign-policy-current-documents-1981-1983-1984-198-58926d8b,published,1,1,reagan,source,"_____. American Foreign Policy, Current Documents, 1981, 1983, 1984, 1985, 1987. Washington: Government Printing Office, 1984, 1985, 1986, 1988.",frus1981-88v01
